cibil__user,overdue_amount_ongoing,overdue_number_ongoing,funded_amount_ongoing,highest_fundamt_ongoing,total_loans_ongoing,total_emi_ongoing,total_current_due_ongoing,settle_12month
116009,0.0,0.0,50000.0,50000.0,2.0,0.0,64077.0,0.0
116012,7275.0,2.0,268339.0,50000.0,17.0,23030.0,167000.0,0.0
116014,0.0,0.0,0.0,0.0,1.0,0.0,28872.0,0.0
116024,11129.0,2.0,0.0,0.0,2.0,0.0,64333.0,0.0
116037,0.0,0.0,412347.0,200000.0,9.0,7472.0,380215.0,0.0
116056,0.0,0.0,10500.0,10500.0,2.0,0.0,21840.0,0.0
116065,0.0,0.0,265000.0,200000.0,5.0,25457.0,309959.0,0.0
116067,31203.0,3.0,923246.0,455246.0,4.0,0.0,875253.0,0.0
116068,93062.0,4.0,2124590.0,2100000.0,6.0,0.0,2325187.0,0.0
116071,7466.0,2.0,190144.0,100000.0,5.0,5541.0,151002.0,0.0
116078,6918.0,2.0,8412645.0,2100000.0,31.0,51349.0,8487041.0,0.0
116086,15107.0,2.0,461000.0,200000.0,8.0,24924.0,499376.0,0.0
116095,0.0,0.0,93100.0,49900.0,6.0,7492.0,137089.0,0.0
116128,23387.0,1.0,1841000.0,1500000.0,5.0,2500.0,1708701.0,0.0
116134,0.0,0.0,517643.0,238636.0,10.0,4382.0,549801.0,0.0
116137,96336.0,3.0,263099.0,92000.0,9.0,5292.0,227624.0,2.0
116157,0.0,0.0,304500.0,120000.0,5.0,6284.0,292378.0,0.0
116164,6511.0,2.0,122897.0,31000.0,6.0,0.0,80033.0,0.0
116168,9537.0,2.0,175420.0,60000.0,4.0,30243.0,95736.0,0.0
116185,112889.0,5.0,2654709.0,1980000.0,7.0,20846.0,2588976.0,0.0
116190,0.0,0.0,2040000.0,887000.0,5.0,7100.0,1724662.0,0.0
116193,207200.0,1.0,594200.0,207200.0,5.0,8792.0,413579.0,0.0
116200,746627.0,5.0,483665.0,249000.0,7.0,1.0,1209167.0,2.0
116207,0.0,0.0,420500.0,360000.0,5.0,2471.0,343229.0,0.0
116213,34876.0,9.0,1304679.0,405322.0,18.0,0.0,903075.0,0.0
116217,0.0,0.0,392523.0,107000.0,9.0,3539.0,231587.0,0.0
116234,0.0,0.0,208695.0,129000.0,6.0,4377.0,133817.0,0.0
116238,0.0,0.0,50000.0,30000.0,1.0,0.0,29710.0,0.0
116241,27166.0,3.0,571000.0,290000.0,8.0,7911.0,480558.0,0.0
116254,0.0,0.0,9513503.0,3121030.0,34.0,134797.0,9574655.0,0.0
116255,0.0,0.0,746056.0,336036.0,16.0,13975.0,1055099.0,0.0
116256,3174.0,1.0,211750.0,145000.0,7.0,2907.0,198190.0,0.0
116280,0.0,0.0,270910.0,72000.0,6.0,284868.0,279269.0,0.0
116283,0.0,0.0,2146000.0,1750000.0,8.0,19087.0,2049636.0,0.0
116285,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
116288,36328.0,3.0,3025550.0,2310000.0,11.0,34806.0,3170304.0,1.0
116294,0.0,0.0,480000.0,250000.0,6.0,7344.0,525587.0,0.0
116297,0.0,0.0,966898.0,367000.0,7.0,0.0,411385.0,1.0
116301,78722.0,2.0,68000.0,28000.0,4.0,0.0,133948.0,3.0
116302,0.0,0.0,3498526.0,1850000.0,12.0,74730.0,3323474.0,0.0
116309,0.0,0.0,295000.0,150000.0,4.0,10184.0,325971.0,0.0
116316,0.0,0.0,93011.0,50000.0,3.0,3748.0,70115.0,0.0
116323,0.0,0.0,237200.0,200000.0,5.0,1934.0,197858.0,1.0
116327,10522.0,3.0,898107.0,200000.0,11.0,20529.0,1150256.0,0.0
116330,0.0,0.0,154878.0,125000.0,5.0,7127.0,249059.0,0.0
116341,0.0,0.0,134297.0,134297.0,1.0,0.0,57710.0,0.0
116349,24550.0,4.0,4353040.0,3400000.0,12.0,14811.0,4129292.0,0.0
116351,0.0,0.0,12000.0,12000.0,0.0,0.0,0.0,0.0
116353,0.0,0.0,99946.0,52000.0,1.0,2292.0,42614.0,0.0
116354,7433.0,1.0,98900.0,88900.0,2.0,0.0,134812.0,0.0
116366,0.0,0.0,595911.0,230070.0,25.0,24401.0,754445.0,0.0
116372,0.0,0.0,153063.0,40000.0,11.0,0.0,135097.0,0.0
116376,0.0,0.0,1099200.0,300000.0,15.0,21401.0,1382936.0,0.0
116389,15435.0,3.0,3376232.0,1404116.0,15.0,58334.0,3271258.0,0.0
116392,0.0,0.0,2551795.0,906182.0,25.0,26332.0,3369036.0,0.0
116393,1724.0,1.0,10908385.0,4228770.0,14.0,47876.0,6468379.0,0.0
116394,14381.0,4.0,174798.0,63000.0,7.0,5541.0,78185.0,0.0
116396,20881.0,3.0,966235.0,341138.0,9.0,16922.0,619395.0,0.0
116397,11528.0,3.0,83430.0,20750.0,5.0,0.0,34881.0,0.0
116406,13603.0,1.0,93783.0,28990.0,8.0,1566.0,218367.0,0.0
116408,0.0,0.0,110433.0,60000.0,9.0,10681.0,135299.0,0.0
116417,6087.0,1.0,286310.0,101920.0,7.0,8502.0,215634.0,0.0
116418,224253.0,9.0,930095.0,248000.0,13.0,32768.0,784674.0,0.0
116424,0.0,0.0,396000.0,300000.0,9.0,0.0,449188.0,0.0
116427,30075.0,1.0,138818.0,103371.0,2.0,0.0,65519.0,0.0
116436,774.0,1.0,996300.0,330000.0,8.0,12900.0,700459.0,0.0
116440,0.0,0.0,492096.0,151062.0,16.0,13405.0,698099.0,1.0
116445,0.0,0.0,75699.0,52013.0,3.0,124.0,60268.0,0.0
116451,0.0,0.0,1472000.0,600000.0,11.0,0.0,1745887.0,0.0
116452,45126.0,2.0,600000.0,500000.0,4.0,29548.0,308598.0,1.0
